Nr4a3,9171.1248882317,1.8018118216,0.0707745166,25.4584829013,5.68661484568068E-143,6.16997710756354E-139
Nfkbid,7117.5502080331,1.6385654268,0.0739437606,22.159617175,8.42639746103251E-109,4.57132062261014E-105
Ccl22,5045.5821695135,-1.7342428384,0.0872011382,-19.8878463617,5.18546270368955E-88,1.87540901116772E-84
Fosl2,3359.1705391765,1.6566370716,0.0834287361,19.8569120094,9.60368732413187E-88,2.60500018667077E-84
Nr4a1,12316.9982351753,1.4221108864,0.0736843139,19.3000492313,5.36580663325995E-83,1.16438003941741E-79
Neat1,6240.2178507915,1.6180818831,0.0889676808,18.1872997921,6.50677841288562E-74,1.17664242966348E-70
Fscn1,3484.5603393868,-1.5451051452,0.0851068644,-18.1548827495,1.1747857112852E-73,1.82091785249206E-70
Rel,5892.4727719073,1.4290810625,0.08628692,16.5619663235,1.31234179718166E-61,1.77986356242762E-58
Egr1,1178.1865909505,1.8043146903,0.1139962118,15.8278478012,1.99944036622352E-56,2.4104364415028E-53
Spag9,4637.0964417419,1.2888011178,0.0857410907,15.0313123824,4.57844257963181E-51,4.96761019890051E-48
Ccr7,8175.2776649174,-1.1383057466,0.0768774682,-14.8067538305,1.3248575639444E-49,1.30679132443607E-46
Med14,2915.466198004,1.2276867178,0.084398627,14.5462878008,6.16594524327228E-48,5.57504215745869E-45
Gbp7,4973.8453623826,1.2429626076,0.086705313,14.3354837677,1.31328211967289E-46,1.0960854614193E-43
Cd40lg,792.3960919212,1.7761403543,0.125415293,14.1620715602,1.57288224189748E-45,1.21898373747055E-42
Dock2,6497.7091740096,1.0315819779,0.0731507655,14.1021351074,3.68451027112106E-45,2.49855852760397E-42
Parp14,8491.9098994174,1.189405838,0.0843295779,14.1042546133,3.57547131378E-45,2.49855852760397E-42
4932438A13Rik,6388.1318186965,1.155439555,0.0824435507,14.0149174178,1.26345164659386E-44,8.0637943326726E-42
Arhgap15,1041.1721069642,1.6066441681,0.1156556386,13.8916198826,7.12064990324748E-44,4.29216952501306E-41
Slc41a1,2221.772450544,1.3194983765,0.096004915,13.7440710813,5.52779854420916E-43,3.15666390550892E-40
Erbb2ip,5949.0652049478,1.1168573458,0.0814308507,13.7154080647,8.21031648897593E-43,4.45409669526944E-40
Cst3,1210.0870675194,-1.4315070278,0.1084066773,-13.2049709841,8.21313555569244E-40,4.24345337044109E-37
Vsir,6459.0399620578,0.9445601018,0.0729662661,12.9451615509,2.50236281073644E-38,1.23411984074956E-35
Chd2,3385.4149438255,1.1095424915,0.085994979,12.9024101715,4.3623660062865E-38,2.05789874644385E-35
Zswim4,1322.7955687729,1.3834911535,0.1095601195,12.6276893419,1.48577296681476E-36,6.71693195414173E-34
Nr4a2,648.165561466,1.6814647915,0.1338157913,12.5655184295,3.267263268248E-36,1.41799225841963E-33
Zbtb20,858.3408929309,1.7137219438,0.1364464656,12.5596653341,3.51817697366937E-36,1.46816231401202E-33
Sptbn1,2479.1702772944,1.1206389265,0.0893049633,12.5484506623,4.05363864713754E-36,1.62896219709046E-33
Macf1,12022.2614382481,0.9379712049,0.074871261,12.5277869374,5.26103034151268E-36,2.03864925733617E-33
Ptpn22,3340.8414573255,1.0113512983,0.0811645674,12.4605025338,1.22595640139844E-35,4.58676791557692E-33
Ppp1r16b,4462.4248276473,0.9802248247,0.0787362989,12.4494653514,1.40785081650327E-35,5.09172711968681E-33
Tkt,4539.8447334525,-1.2513437227,0.1010995785,-12.3773386745,3.46647787916083E-35,1.21326725770629E-32
Samd9l,1537.9817123551,1.4318320083,0.1166439126,12.2752398867,1.23026624474495E-34,4.17137148608833E-32
Gart,3150.4584957201,-1.0688775418,0.0874524052,-12.2223915876,2.36037042534872E-34,7.76061185304047E-32
Ptprcap,1026.3757168416,-1.3930420162,0.1144604601,-12.1705086174,4.46292869438256E-34,1.42419930394267E-31
Parp4,1124.6955749032,1.3972812788,0.1150115624,12.1490504905,5.80356788845247E-34,1.79910604542027E-31
Itk,10290.0368876055,0.8423978047,0.0699700287,12.039409171,2.20529399431035E-33,6.64651106618538E-31
Crem,1876.7571228346,1.2935579927,0.1087409673,11.8957741971,1.24493155762011E-32,3.65067767572383E-30
Atp10d,887.9094079269,1.3920661108,0.1173573977,11.8617670292,1.86986744655405E-32,5.33896363029249E-30
Csrnp1,2953.8819648555,1.0348738535,0.0873918437,11.8417670252,2.37397847910713E-32,6.60452987136214E-30
Arl5b,1317.2668021352,1.282393418,0.1083177855,11.8391768415,2.44844216122236E-32,6.64139936231566E-30
Nefh,561.0477426645,-1.7057768148,0.1444075684,-11.8122397143,3.37450603696207E-32,8.93009524415572E-30
Pde2a,389.9409346177,2.0231892428,0.1729287156,11.69955629,1.28121659430157E-31,3.30980953527905E-29
Bach1,1265.9573258409,1.2125235227,0.1052754661,11.5176267358,1.07532048348936E-30,2.7133086618278E-28
Slc29a1,1361.5037924611,-1.1721855131,0.1024306202,-11.4437021891,2.52860187888617E-30,6.2353023604352E-28
